rank	schoolChinese	schoolEnglish	score
122	北部湾大学	North Bay University	5.424
123	大连民族大学	Dalian Minzu University	5.350
123	深圳信息职业技术学院	Shenzhen Institute of Information Technology	5.350
123	武汉理工大学	Wuhan University of Technology	5.350
126	江西理工大学	Jiangxi University of Science and Technology	5.275
126	上海电力大学	Shanghai University of Electric Power	5.275
128	重庆理工大学	Chongqing University of Technology	5.250
128	广州铁路职业技术学院	Guangzhou Railway Polytechnic	5.250
128	南京理工大学江阴校区	Nanjing University of Science and Technology Jiangyin Campus	5.250
131	同济大学浙江学院	Zhejiang College of Tongji University	5.150
132	中国人民警察大学	Chinese People's Police University	5.109
133	河南科技大学	Henan University of Science and Technology	5.100
134	安徽理工大学	Anhui University of Science and Technology	5.025
134	大连大学	Dalian University	5.025
134	集美大学	Jimei University	5.025
134	辽宁石油化工大学	Liaoning University of Petroleum and Chemical Technology	5.025
134	西南石油大学南充校区	Southwest Petroleum University Nanchong Campus	5.025
134	新疆工程学院	Xinjiang Institute of Technology	5.025
140	江苏航空职业技术学院	Jiangsu Aviation Vocational and Technical College	4.975
140	中国科学院大学	University of Chinese Academy of Sciences	4.975
142	河北师范大学	Hebei Normal University	4.950
143	北京邮电大学	Beijing University of Posts and Telecommunications	4.875
143	海南大学	Hainan University	4.875
143	江苏开放大学	Jiangsu Open University	4.875
143	宁波诺丁汉大学	University of Nottingham Ningbo China	4.875
143	南通理工学院	Nantong Institute of Technology	4.875
143	内蒙古师范大学	Inner Mongolia Normal University	4.875
149	西北农林科技大学	Northwest A&F University	4.768
150	南昌航空大学	Nanchang Hangkong University	4.750
151	闽江学院	Minjiang College	4.725
152	广州航海学院	Guangzhou Maritime University	4.650
152	贵州师范大学	Guizhou Normal University	4.650
152	陆军装甲兵学院	Army Academy of Armoured Forces	4.650
152	武汉科技大学	Wuhan University of Science and Technology	4.650
156	内蒙古大学	Inner Mongolia University	4.634
157	深圳北理莫斯科大学	Shenzhen MSU-BIT University	4.625
158	常熟理工学院	Changshu Institute of Technology	4.500
158	济宁学院	Jining College	4.500
158	济南大学	Jinan Universty	4.500
158	山东大学（威海）	Shandong University , Weihai	4.500
158	浙江大学伊利诺伊大学厄巴纳香槟校区联合学院	Zhejiang University-University of Illinois Urbana-Champaign	4.500
163	杭州电子科技大学	Hangzhou University of Electronic Science and Technology	4.480
164	宜宾学院	Yibin University	4.425
165	广州南方学院	Nanfang College Guangzhou	4.400
165	贵阳人文科技学院	The College of Humanities and Science of Guizhou Minzu University	4.400
165	哈尔滨理工大学	Harbin University of Science and Technology	4.400
165	南昌理工学院	Nanchang University of Technology	4.400
165	上海理工大学	University of Shanghai for Science and Technology	4.400
165	石家庄铁道大学	Shijiazhuang Railway University	4.400
165	天津工业大学	Tiangong University	4.400
172	南通大学	Nantong University	4.350
172	郑州大学	Zhengzhou University	4.350
174	广东交通职业技术学院	Guangdong Transportation Vocational and Technical College	4.250
174	三江学院	Sanjiang University	4.250
174	山东石油化工学院	Shandong Institute of Petroleum and Chemical Technology	4.250
174	陕西科技大学	Shaanxi University of Science and Technology	4.250
174	沈阳工学院	Shenyang Institute of Technology	4.250
174	枣庄学院	Zaozhuang University	4.250
174	珠海科技学院	Zhuhai College of Science and Technology	4.250
181	大连交通大学	Dalian Jiaotong University	4.200
182	黑河学院	Heihe University	4.175
182	华南师范大学（佛山校区）	South China Normal University Foshan Campus	4.175
182	南京工业大学	Nanjing Tech University	4.175
185	武汉大学	Wuhan University	4.130
186	重庆第二师范学院	Chongqing University of Education	4.100
187	福州大学	Fuzhou University	4.025
187	惠州学院	Huizhou University	4.025
187	沈阳化工大学	Shenyang University of Chemical Technology	4.025
190	厦门理工学院	Xiamen University of Technology	4.000
191	上海大学	Shanghai University	3.975
192	昆明理工大学津桥学院	Kunming University of Science and Technology, Jinqiao College	3.949
193	厦门大学	Xiamen University	3.900
194	北京交通大学	Beijing Jiaotong University	3.800
194	北师香港浸会大学	Beijing Normal–Hong Kong Baptist University	3.800
194	长江大学	Yangtze University	3.800
194	黑龙江大学	Heilongjiang University	3.800
194	集美大学诚毅学院	Chengyi College, Jimei University	3.800
194	香港中文大学（深圳）	The Chinese University of Hong Kong (Shenzhen)	3.800
200	安徽大学	Anhui University	3.775
200	北京航空航天大学	Beijing University of Aeronautics and Astronautics	3.775
200	长春理工大学	Changchun University of Science and Technology	3.775
200	浙大城市学院	Hangzhou City University	3.775
204	伊利诺伊大学厄巴纳香槟分校	University of Illinois Urbana-Champaign	3.750
205	广东海洋大学	Guangdong Ocean University	3.650
205	湖北第二师范学院	Hubei University of Education	3.650
205	华东交通大学	East China Jiaotong University	3.650
205	盐城师范学院	Yancheng Teachers University	3.650
209	呼伦贝尔学院	Hulunbuir University	3.550
209	苏州大学应用技术学院	Applied Technology College of Soochow University	3.550
209	潍坊科技学院	Weifang Institute of Technology	3.550
209	浙江工业大学	Zhejiang University of Technology	3.550
213	长春工业大学	Changchun University of Technology	3.400
213	广东轻工职业技术大学	Guangdong Industry Polytechnic University	3.400
213	广州工商学院	Guangzhou College of Technology and Business	3.400
213	山西机电职业技术学院	Shanxi Institute of Mechanical and Electrical Engineering	3.400
213	西安科技大学	Xi'an University of Science and Technology	3.400
213	西南大学	Southwest University	3.400
219	华侨大学	Huaqiao University	3.150
220	复旦大学	Fudan University	3.125
220	江南大学霞客湾校区	Jiangnan University, Xiakewan Campus	3.125
222	新乡学院	Xinxiang College	2.975
223	常州工学院	Changzhou Institute of Technology	2.750
223	河北大学	Hebei University	2.750
223	湖南工学院	Hunan Institute of Technology	2.750
226	天津理工大学	Tianjin University of Technology	2.600
227	北京石油化工学院	Beijing Institute of Petrochemical Technology	2.375
227	成都理工大学工程技术学院	The Engineering&Technical College of Chengdu University of Technology	2.375
227	重庆邮电大学	Chongqing University of Posts and Telecommunications	2.375
227	广东工商职业技术大学	Guangdong University of Business and Technology	2.375
227	海军大连舰艇学院	PLA Dalian Naval Academy	2.375
227	湖南工程学院	Hunan Institute of Engineering	2.375
227	武汉华夏理工学院	Wuhan Huaxia Institute of Technology	2.375
227	西南林业大学	Southwest Forestry University	2.375
227	西浦创业家学院（太仓）	Xi'an Jiaotong-Liverpool University, Entrepreneur College (Taicang)	2.375
227	新疆大学	Xinjiang University	2.375
237	陆军边海防学院	Army Academy of Border and Coastal Defense	2.359
238	华北电力大学	North China Electric Power University	2.275
238	吉利学院	Geely University of China	2.275
238	江苏科技大学	Jiangsu University of Science and Technology	2.275
238	西安工业大学	Xi'an Technological University	2.275
242	德州农工大学	Texas A&M University	2.250
242	弗吉尼亚理工大学	Virginia Tech	2.250
242	关东联合大学	Kanto Universities Alliance	2.250
242	麦克马斯特大学	McMaster University	2.250
242	普渡大学	Purdue University	2.250
247	河北建筑工程学院	Hebei University of Architecture	2.225
248	重庆交通大学	Chongqing Jiaotong University	2.125
